LAST SEEN   TYPE      REASON                         OBJECT                                     MESSAGE
40m         Normal    Scheduled                      pod/aws-node-46jbt                         Successfully assigned kube-system/aws-node-46jbt to ip-10-0-147-0.eu-west-2.compute.internal
40m         Normal    Pulling                        pod/aws-node-46jbt                         Pulling image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
39m         Normal    Pulled                         pod/aws-node-46jbt                         Successfully pulled image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.7841978s
39m         Normal    Created                        pod/aws-node-46jbt                         Created container aws-vpc-cni-init
39m         Normal    Started                        pod/aws-node-46jbt                         Started container aws-vpc-cni-init
39m         Normal    Pulling                        pod/aws-node-46jbt                         Pulling image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
39m         Normal    Pulled                         pod/aws-node-46jbt                         Successfully pulled image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.632563496s
39m         Normal    Created                        pod/aws-node-46jbt                         Created container aws-node
39m         Normal    Started                        pod/aws-node-46jbt                         Started container aws-node
39m         Warning   Unhealthy                      pod/aws-node-46jbt                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:22:09.417Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
40m         Normal    Scheduled                      pod/aws-node-4gdc4                         Successfully assigned kube-system/aws-node-4gdc4 to ip-10-0-151-108.eu-west-2.compute.internal
40m         Normal    Pulling                        pod/aws-node-4gdc4                         Pulling image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
39m         Normal    Pulled                         pod/aws-node-4gdc4                         Successfully pulled image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 10.109043291s
39m         Normal    Created                        pod/aws-node-4gdc4                         Created container aws-vpc-cni-init
39m         Normal    Started                        pod/aws-node-4gdc4                         Started container aws-vpc-cni-init
39m         Normal    Pulling                        pod/aws-node-4gdc4                         Pulling image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
39m         Normal    Pulled                         pod/aws-node-4gdc4                         Successfully pulled image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 3.183094772s
39m         Normal    Created                        pod/aws-node-4gdc4                         Created container aws-node
39m         Normal    Started                        pod/aws-node-4gdc4                         Started container aws-node
39m         Warning   Unhealthy                      pod/aws-node-4gdc4                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:22:08.151Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
46m         Warning   NodeNotReady                   pod/aws-node-76x5n                         Node is not ready
46m         Warning   NodeNotReady                   pod/aws-node-kkbxf                         Node is not ready
40m         Normal    Scheduled                      pod/aws-node-l7t2p                         Successfully assigned kube-system/aws-node-l7t2p to ip-10-0-137-244.eu-west-2.compute.internal
40m         Normal    Pulling                        pod/aws-node-l7t2p                         Pulling image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
39m         Normal    Pulled                         pod/aws-node-l7t2p                         Successfully pulled image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.98025352s
39m         Normal    Created                        pod/aws-node-l7t2p                         Created container aws-vpc-cni-init
39m         Normal    Started                        pod/aws-node-l7t2p                         Started container aws-vpc-cni-init
39m         Normal    Pulling                        pod/aws-node-l7t2p                         Pulling image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
39m         Normal    Pulled                         pod/aws-node-l7t2p                         Successfully pulled image "602401143452.dkr.ecr.eu-west-2.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.707273012s
39m         Normal    Created                        pod/aws-node-l7t2p                         Created container aws-node
39m         Normal    Started                        pod/aws-node-l7t2p                         Started container aws-node
